iter	RMSE
0	98157544.74
1	87044004.88
2	78003189.67
3	70599484.47
4	65125517.11
5	61002180.86
6	57275615.89
7	54750165.88
8	52922346.35
9	51468505.35
10	50077618.02
11	49076540.54
12	48231784.31
13	47563078.65
14	46846443.37
15	46316658.08
16	45599045.12
17	45154974.23
18	44554204.38
19	44179437.32
20	43924717.79
21	43538845.3
22	43159815.85
23	42755420.3
24	42500879.95
25	42267985.98
26	42130158.72
27	42031711.46
28	41867185.72
29	41604809.61
30	41225266.7
31	40998892.43
32	40711096.78
33	40477803
34	40247370.84
35	40138057.94
36	39994481.46
37	39845332.45
38	39527997.27
39	39432629.52
40	39310123.5
41	39107920.7
42	38926448.48
43	38344021.48
44	38288767.74
45	37882883.29
46	37835837.1
47	37746299.81
48	37554276.32
49	37420558.43
50	37249597.29
51	37143353.61
52	37079750.12
53	36972141.64
54	36873713.28
55	36637848.92
56	36509418.58
57	36351336.5
58	36150777.86
59	36005409.99
60	35754324.26
61	35659664.28
62	35622289.9
63	35462938.49
64	35374491.35
65	35289956.43
66	35158163.68
67	35043930.61
68	34603845.94
69	34445149.51
70	34297272.77
71	34174483.46
72	33991464.69
73	33969024.46
74	33889755.97
75	33871004.32
76	33603237.87
77	33348509.78
78	33156721.87
79	32924450.79
80	32789068.44
81	32650841.21
82	32590699.71
83	32442779.94
84	32386690.38
85	32320597.02
86	32167693.8
87	32037950.68
88	31809882.65
89	31625719.8
90	31490961.02
91	31329150.25
92	31154031.52
93	31014106.54
94	30919835.45
95	30844496.27
96	30767654.65
97	30713882.34
98	30578451.63
99	30426009.6
100	30344370.66
101	30284890.38
102	30105343.89
103	29942969.39
104	29891080.46
105	29815102.93
106	29663360.77
107	29531471.6
108	29492957.31
109	29445173.4
110	29385920.89
111	29353125.72
112	29271178.04
113	29228007.58
114	29140107.87
115	29069989.66
116	28907722.5
117	28764813.47
118	28690319.94
119	28550737.09
120	28372054.15
121	28267536.07
122	28220699.79
123	28133488.8
124	28014357.48
125	27864760.64
126	27808935.77
127	27727614.7
128	27706818.51
129	27681109.94
130	27641010.72
131	27495543.41
132	27374642.89
133	27331152.03
134	27242357.02
135	27203228.08
136	27158140.32
137	27055284.85
138	26999038.97
139	26858922.83
140	26748719.25
141	26642016.89
142	26532033.03
143	26439580.44
144	26332539.76
145	26277666.39
146	26248114.97
147	26172583.66
148	26130565.02
149	26089654.29
150	26007274.34
151	25965242.97
152	25845459.9
153	25733097.44
154	25676971.45
155	25600360.2
156	25549218.01
157	25439845.11
158	25304653.26
159	25156371.71
160	25099308.67
161	25051986.74
162	24943874.85
163	24832986.09
164	24757489.22
165	24713498.62
166	24629753.76
167	24579672.57
168	24542941.1
169	24489870.6
170	24426247.84
171	24412694.15
172	24370838.88
173	24356374.47
174	24337218.94
175	24280100.27
176	24229064.13
177	24132231.33
178	24067919.4
179	23978741.39
180	23928881.56
181	23865067.94
182	23788154.7
183	23763238.78
184	23689400.76
185	23632556.89
186	23604525.51
187	23540545.29
188	23521844.46
189	23485661.37
190	23435793.15
191	23366706.59
192	23326049.43
193	23294730.17
194	23226777.14
195	23163455.62
196	23099600.94
197	23045626.46
198	22969883.56
199	22929739.57
200	22862192.3
201	22834585.8
202	22806199.22
203	22708978.73
204	22673757.83
205	22639225.21
206	22593510.39
207	22553672.33
208	22538890.51
209	22489197.28
210	22452546.7
211	22426514.62
212	22346630.73
213	22287315.61
214	22237542.17
215	22217209.33
216	22175574.37
217	22132081.81
218	22113685.26
219	22064955.68
220	22032760.39
221	21983906.46
222	21972528.12
223	21921485.8
224	21903997.94
225	21860338.35
226	21808098.49
227	21738409.05
228	21685694.43
229	21654611.57
230	21605498.67
231	21587787.55
232	21570831.02
233	21539578.98
234	21501289.1
235	21447431.94
236	21408252.66
237	21364612.28
238	21324655.37
239	21256581.39
240	21202883.65
241	21166947.76
242	21111002.78
243	21041255.14
244	20992485.92
245	20923657.64
246	20865921.6
247	20835916.25
248	20810935.22
249	20782670.39
250	20754932.99
251	20690695.05
252	20649303.33
253	20598227.51
254	20536744.19
255	20471221.54
256	20449275.31
257	20420910.74
258	20386104.24
259	20364744.23
260	20330980.61
261	20272610.91
262	20231423.61
263	20168579.53
264	20129905.55
265	20108338.76
266	20048819.48
267	20027965.82
268	19978941.83
269	19953385.24
270	19934088.62
271	19897120.17
272	19870719.74
273	19851690.95
274	19825110.24
275	19800235.25
276	19768110.23
277	19739044.95
278	19714898.73
279	19693534.15
280	19638078.84
281	19626236.05
282	19614520.47
283	19611226.47
284	19580856.29
285	19529423.76
286	19478544.36
287	19435812.89
288	19397021.35
289	19347401.43
290	19310071.31
291	19297656.59
292	19276428.07
293	19239347.16
294	19186627.77
295	19157405.99
296	19134183.04
297	19118993.08
298	19064262.67
299	19037997.67
300	19021580.08
301	19006569.91
302	18995118.64
303	18958554.05
304	18943140.29
305	18934380.4
306	18918080.54
307	18892838.79
308	18867202.35
309	18822904.6
310	18809281.52
311	18771816.96
312	18730056.18
313	18694506.1
314	18663859.12
315	18650877.6
316	18628460.09
317	18607757.91
318	18577688.14
319	18558060.3
320	18489796.11
321	18474108.12
322	18444456.09
323	18432250.53
324	18406371.13
325	18399915
326	18355858.42
327	18338209
328	18329181.59
329	18293626.97
330	18248817.25
331	18220051.19
332	18194059.56
333	18151973.5
334	18110570.04
335	18089443.98
336	18061724.75
337	18037878.92
338	18022829.41
339	17982502.97
340	17975162.79
341	17960356.37
342	17945767.13
343	17936616.32
344	17906709.41
345	17851679.21
346	17840650.17
347	17822923.67
348	17805109.06
349	17781546.52
350	17756206.23
351	17754743.92
352	17746233.58
353	17711323.93
354	17686310.76
355	17651902.97
356	17615094.17
357	17576304.53
358	17551555.57
359	17503253.95
360	17477312.34
361	17455450.73
362	17428344.26
363	17403142.57
364	17393170.6
365	17382846.87
366	17334404.03
367	17293123.14
368	17285180.64
369	17258481.53
370	17251394.75
371	17213002.54
372	17193478.82
373	17172430
374	17123277.49
375	17087855.45
376	17020955.68
377	16970053.04
378	16950002.99
379	16934626.56
380	16924999.85
381	16922843.77
382	16894776.47
383	16878459.1
384	16871945.87
385	16853437.42
386	16826252.16
387	16781247.23
388	16757820.77
389	16734411.61
390	16713999.55
391	16703778.75
392	16690603.88
393	16677882.56
394	16649687.27
395	16626950.39
396	16611086.36
397	16576036.75
398	16556613.81
399	16551199.81
400	16535880.07
401	16518452.29
402	16493478.45
403	16455851.27
404	16422333.48
405	16400563.81
406	16389720.91
407	16379690.06
408	16351489.11
409	16337627.2
410	16323970.15
411	16299286.97
412	16281262.79
413	16271390.5
414	16262844.97
415	16251120.48
416	16243476.31
417	16226011.9
418	16199595.7
419	16171446.12
420	16166616.8
421	16137670.18
422	16126372.94
423	16105503.47
424	16069644.68
425	16066589.33
426	16031943.79
