iter	Passed	Remaining
0	1	1730
1	3	1647
2	5	1658
3	7	1650
4	8	1624
5	10	1612
6	12	1602
7	13	1588
8	15	1564
9	16	1548
10	18	1530
11	19	1517
12	21	1519
13	23	1513
14	24	1516
15	26	1515
16	28	1517
17	29	1511
18	31	1511
19	33	1501
20	34	1493
21	36	1491
22	38	1494
23	39	1493
24	41	1484
25	42	1479
26	44	1473
27	45	1476
28	47	1473
29	49	1467
30	50	1457
31	52	1455
32	53	1455
33	55	1457
34	57	1456
35	58	1452
36	60	1449
37	61	1446
38	63	1442
39	64	1439
40	66	1438
41	68	1435
42	69	1430
43	71	1430
44	72	1427
45	74	1420
46	75	1419
47	77	1420
48	78	1414
49	80	1410
50	81	1406
51	83	1401
52	84	1396
53	86	1394
54	88	1396
55	89	1396
56	91	1395
57	93	1393
58	94	1393
59	96	1390
60	98	1391
61	99	1390
62	101	1386
63	102	1387
64	104	1385
65	105	1381
66	107	1379
67	109	1377
68	110	1376
69	112	1372
70	113	1368
71	115	1366
72	116	1365
73	118	1364
74	119	1363
75	121	1362
76	123	1360
77	124	1358
78	126	1357
79	127	1355
80	129	1353
81	131	1351
82	132	1351
83	134	1351
84	136	1349
85	137	1348
86	139	1344
87	140	1342
88	142	1339
89	143	1335
90	145	1334
91	146	1333
92	148	1333
93	150	1331
94	151	1329
95	153	1328
96	155	1327
97	156	1326
98	158	1322
99	159	1321
100	161	1318
101	162	1315
102	164	1313
103	165	1313
104	167	1311
105	169	1310
106	170	1308
107	172	1305
108	173	1303
109	175	1301
110	176	1298
111	178	1296
112	179	1296
113	181	1294
114	183	1293
115	184	1292
116	186	1291
117	187	1288
118	189	1285
119	190	1282
120	192	1279
121	193	1276
122	194	1273
123	196	1270
124	197	1267
125	199	1265
126	200	1263
127	202	1261
128	203	1259
129	204	1256
130	206	1254
131	207	1252
132	209	1250
133	211	1248
134	212	1247
135	214	1245
136	215	1242
137	216	1240
138	218	1241
139	220	1238
140	221	1236
141	223	1233
142	224	1231
143	226	1229
144	227	1227
145	228	1224
146	230	1221
147	231	1219
148	232	1216
149	234	1215
150	235	1212
151	237	1209
152	238	1207
153	240	1205
154	241	1202
155	242	1200
156	244	1198
157	245	1195
158	247	1193
159	248	1191
160	249	1189
161	251	1187
162	252	1185
163	254	1183
164	255	1180
165	257	1178
166	258	1175
167	259	1173
168	260	1170
169	262	1168
170	263	1165
171	265	1163
172	266	1161
173	268	1160
174	269	1157
175	270	1155
176	271	1152
177	273	1150
178	274	1147
179	276	1146
180	277	1144
181	279	1142
182	280	1140
183	281	1138
184	283	1136
185	284	1134
