,0
rur,1.0
aud,50.8804
azn,41.7779
dzd,0.5335799999999999
gbp,95.3973
amd,0.192901
bhd,188.8486
byn,25.7328
bob,10.2782
brl,14.0599
huf,0.232967
vnd,0.00282519
hkd,9.06245
gel,26.5922
dkk,11.0408
aed,19.339
usd,71.0224
eur,82.6369
egp,1.35826
inr,0.7445910000000001
idr,0.0039924900000000004
irr,4.84374e-05
kzt,0.146272
cad,51.432
qar,19.5116
kgs,0.812149
cny,10.4865
cup,2.95927
mdl,4.09783
mnt,0.0198612
ngn,0.0516374
nzd,42.269
nok,7.64372
omr,184.7137
pln,19.5143
sar,18.9393
ron,15.7481
xdr,97.0649
sgd,55.6079
tjs,7.67536
thb,2.1795999999999998
bdt,0.5782269999999999
try,1.55504
tmt,20.2921
uzs,0.00591758
uah,1.60437
czk,3.40619
sek,7.6243300000000005
chf,90.5321
etb,0.449572
rsd,0.704251
zar,4.3665
krw,0.047165900000000004
jpy,0.445841
mmk,0.0338202
