,rooms,area,floor,floors_total,metro,metro_minutes,metro_transport,district,seller_type,price_rub
0,4.0,86.0,3,18,Корниловская,18.0,walk,Мосрентген,agency,26285040.0
1,1.0,33.4,2,9,Кокошкино,6.0,walk,Кокошкино,specialist,11000000.0
2,1.0,33.1,1,5,Щёлковская,7.0,walk,Северное Измайлово,specialist,12500000.0
3,1.0,41.3,25,27,Тушинская,8.0,transport,Покровское-Стрешнево,specialist,17500000.0
4,0.0,31.6,32,47,Печатники,13.0,walk,Печатники,agency,19842057.0
5,1.0,36.0,1,5,Нагорная,12.0,walk,Котловка,specialist,8990000.0
6,3.0,54.5,3,5,Шелепиха,2.0,walk,Пресненский,specialist,21900000.0
7,1.0,38.5,2,12,Тютчевская,19.0,walk,Мосрентген,specialist,12000000.0
8,2.0,64.2,28,39,Тропарёво,14.0,walk,Тропарево-Никулино,specialist,40000000.0
9,2.0,58.0,9,22,Славянский бульвар,15.0,walk,Фили-Давыдково,owner,29000000.0
10,1.0,39.5,17,21,Академическая,9.0,walk,Академический,agency,18703250.0
11,2.0,42.2,1,9,Черкизовская,14.0,walk,Преображенское,agency,11981000.0
12,3.0,75.6,20,20,Солнцево,5.0,walk,Солнцево,specialist,29500000.0
13,3.0,82.79,7,16,Автозаводская,8.0,transport,Даниловский,agency,44176744.0
14,5.0,200.0,4,14,Ломоносовский проспект,3.0,transport,Раменки,agency,336018550.0
15,5.0,213.0,3,6,Кропоткинская,13.0,walk,Хамовники,specialist,378904504.0
16,2.0,52.93,7,21,Филатов Луг,13.0,transport,Филимонковское,agency,14082979.0
17,2.0,73.78,42,46,Хорошёво,8.0,walk,Хорошево-Мневники,agency,51026248.0
18,1.0,38.4,14,29,Андроновка,16.0,walk,Нижегородский,agency,19945027.0
19,4.0,77.8,9,16,Коммунарка,5.0,transport,Сосенское,agency,22104868.0
20,3.0,64.0,8,11,Савёловская,10.0,walk,Савеловский,specialist,25800000.0
21,3.0,137.0,14,17,Ленинский проспект,14.0,walk,Гагаринский,agency,129495000.0
22,4.0,109.2,28,29,Нагатинская,6.0,walk,Нагатино-Садовники,agency,72047102.0
23,1.0,44.6,14,22,Коптево,7.0,walk,Коптево,specialist,25800000.0
24,3.0,58.8,4,12,Покровское,9.0,transport,Бирюлево Западное,owner,6500000.0
25,2.0,97.1,17,17,Преображенская площадь,5.0,walk,Преображенское,agency,67809379.0
26,3.0,86.0,5,11,Марьина Роща,8.0,walk,Марьина роща,specialist,38900000.0
27,1.0,37.0,2,24,Саларьево,19.0,walk,Мосрентген,specialist,15395000.0
28,3.0,60.5,8,25,Воронцовская,6.0,walk,Обручевский,specialist,39500000.0
29,1.0,43.3,11,33,Верхние Лихоборы,11.0,walk,Западное Дегунино,specialist,20250000.0
30,3.0,100.0,3,4,Тверская,9.0,walk,Пресненский,specialist,100000000.0
31,4.0,137.0,5,12,Фрунзенская,10.0,walk,Хамовники,specialist,320000000.0
32,2.0,75.5,8,18,Терехово ,5.0,transport,Хорошево-Мневники,agency,57833000.0
33,3.0,93.3,5,9,Речной вокзал,4.0,walk,Левобережный,specialist,32900000.0
34,2.0,53.2,14,17,Некрасовка,5.0,transport,Некрасовка,agency,15450000.0
35,1.0,35.3,6,14,Юго-Восточная,7.0,walk,Выхино-Жулебино,specialist,11500000.0
36,1.0,35.1,11,16,Потапово,17.0,walk,Сосенское,agency,15163200.0
37,4.0,143.0,2,4,Китай-город,3.0,walk,Басманный,specialist,73000000.0
38,1.0,54.4,21,58,Хорошёво,8.0,walk,Хорошево-Мневники,specialist,33000000.0
39,2.0,73.5,45,50,Мичуринский проспект,13.0,walk,Раменки,specialist,45000000.0
40,1.0,28.5,1,8,Шаболовская,12.0,walk,Даниловский,specialist,15500000.0
41,4.0,101.9,4,50,Шелепиха,8.0,walk,Пресненский,agency,42000000.0
42,2.0,47.0,2,12,Зябликово,8.0,walk,Орехово-Борисово Южное,specialist,17000000.0
43,3.0,84.2,2,17,Измайловская,5.0,transport,Измайлово,agency,28257520.0
44,3.0,63.6,1,12,Ольховая,20.0,transport,Десёновское,agency,18850200.0
45,4.0,108.0,7,8,Марьина Роща,5.0,walk,Марьина роща,specialist,78700000.0
46,0.0,23.0,17,27,Черкизовская,8.0,walk,Гольяново,agency,12771900.0
47,2.0,63.4,9,10,Парк Победы,10.0,walk,Дорогомилово,agency,80000000.0
48,0.0,32.5,16,22,Саларьево,19.0,walk,Московский,agency,14264250.0
49,3.0,62.5,5,14,Братиславская,14.0,walk,Люблино,specialist,10400000.0
50,4.0,109.8,51,59,Трикотажная,8.0,walk,Покровское-Стрешнево,agency,42186159.0
51,2.0,39.0,5,20,Алексеевская,12.0,walk,Алексеевский,agency,28890000.0
52,2.0,54.4,7,35,Алексеевская,13.0,walk,Останкинский,agency,26800000.0
53,1.0,37.7,28,30,Волгоградский проспект,12.0,walk,Южнопортовый,owner,23990000.0
54,1.0,37.2,2,16,Румянцево,6.0,transport,Московский,specialist,13900000.0
55,2.0,61.16,9,15,Электрозаводская,13.0,walk,Басманный,agency,52604673.0
56,2.0,63.6,6,10,Парк Победы,12.0,walk,Дорогомилово,agency,75000000.0
57,3.0,70.2,7,8,Кутузовская,5.0,walk,Дорогомилово,agency,33000000.0
58,3.0,77.5,43,55,Октябрьское поле,15.0,walk,Хорошевский,agency,53361463.0
59,4.0,91.2,11,17,Некрасовка,4.0,transport,Некрасовка,agency,19626000.0
60,2.0,37.8,4,9,Аэропорт Внуково,6.0,transport,Московский,specialist,9500000.0
61,1.0,37.5,3,17,Некрасовка,5.0,transport,Некрасовка,agency,10430000.0
62,2.0,56.0,5,5,Беговая,5.0,walk,Хорошевский,owner,20900000.0
63,3.0,75.3,5,10,Бульвар Рокоссовского,19.0,walk,Метрогородок,agency,30700703.0
64,2.0,50.0,4,41,Кутузовская,18.0,walk,Раменки,specialist,48900000.0
65,2.0,60.0,9,15,Динамо,6.0,walk,Беговой,specialist,34000000.0
66,0.0,22.3,30,58,Калужская,7.0,walk,Коньково,agency,14100000.0
67,3.0,77.2,6,19,Лесопарковая,2.0,walk,Чертаново Южное,specialist,26900000.0
68,2.0,58.6,15,22,Рассказовка,4.0,transport,Внуковское,agency,20978800.0
69,2.0,91.5,10,10,Спартак,11.0,walk,Покровское-Стрешнево,agency,93330000.0
70,3.0,160.6,3,6,Охотный ряд,4.0,walk,Тверской,agency,319205120.0
71,5.0,250.0,15,41,ЦСКА,13.0,walk,Хорошевский,agency,200000000.0
72,5.0,101.6,1,14,Красногвардейская,12.0,walk,Зябликово,specialist,24000000.0
73,0.0,21.0,24,33,Улица Скобелевская,11.0,walk,Южное Бутово,specialist,11500000.0
74,1.0,49.4,7,11,Мякинино,22.0,transport,ЗАО,owner,38555000.0
75,2.0,58.2,3,16,Крымская,13.0,walk,Академический,specialist,20950990.0
76,3.0,122.3,6,8,Новослободская,4.0,walk,Тверской,specialist,149000000.0
77,4.0,135.7,25,46,Павелецкая,20.0,walk,Даниловский,specialist,65500000.0
78,3.0,72.8,23,31,Новопеределкино,4.0,walk,Ново-Переделкино,agency,26550512.0
79,4.0,96.1,7,22,Саларьево,5.0,transport,Московский,specialist,25000000.0
80,1.0,38.1,19,25,Октябрьское поле,19.0,walk,Хорошево-Мневники,agency,18950000.0
81,2.0,55.3,7,12,Толстопальцево,4.0,transport,Марушкинское,owner,10500000.0
82,0.0,37.0,4,25,Полежаевская,16.0,walk,Хорошевский,specialist,23499999.0
83,6.0,375.5,5,5,Студенческая,4.0,walk,Дорогомилово,specialist,170000000.0
84,1.0,34.81,14,20,Физтех,13.0,walk,Северный,specialist,10810000.0
85,4.0,182.4,8,17,Смоленская,6.0,walk,Арбат,specialist,272701770.0
86,4.0,168.3,19,19,Академическая,1.0,walk,Академический,agency,103711630.0
87,2.0,58.0,9,17,Кантемировская,17.0,walk,Царицыно,specialist,21800000.0
88,4.0,125.0,22,30,Бульвар Рокоссовского,7.0,walk,Богородское,specialist,48900000.0
89,4.0,153.4,6,10,Курская,12.0,walk,Басманный,agency,175000000.0
90,2.0,59.1,9,17,Рассказовка,3.0,transport,Внуковское,agency,19470175.0
91,3.0,78.0,5,5,Коптево,13.0,walk,Коптево,specialist,21560000.0
92,4.0,165.0,10,23,Краснопресненская,5.0,transport,Пресненский,agency,270840000.0
93,1.0,36.08,9,13,Филатов Луг,13.0,transport,Филимонковское,agency,12831480.0
94,2.0,55.0,15,16,Румянцево,14.0,walk,Мосрентген,owner,7000000.0
95,5.0,133.3,7,29,Семёновская,15.0,walk,Соколиная гора,specialist,49000000.0
96,1.0,35.47,25,30,Кунцевская,13.0,walk,Кунцево,agency,25041820.0
97,4.0,110.0,2,10,Кутузовская,3.0,walk,Дорогомилово,agency,49950000.0
98,3.0,117.0,5,5,Лефортово,18.0,walk,Лефортово,specialist,38900000.0
99,0.0,38.7,12,21,Потапово,8.0,transport,Сосенское,agency,20757519.0
100,1.0,43.1,8,43,Бульвар Рокоссовского,2.0,walk,Богородское,agency,22011170.0
101,0.0,29.3,6,30,Озёрная,5.0,walk,Очаково-Матвеевское,agency,19841000.0
102,2.0,48.4,16,25,Динамо,17.0,walk,Савеловский,specialist,29900000.0
103,1.0,53.8,2,27,Павелецкая,7.0,walk,Замоскворечье,agency,55298800.0
104,2.0,54.31,25,40,Минская,15.0,walk,Раменки,agency,53404678.0
105,0.0,52.0,5,7,Давыдково,14.0,walk,Можайский,agency,14950000.0
106,1.0,47.0,9,24,Лианозово,15.0,walk,Лианозово,specialist,15200000.0
107,3.0,118.82,13,26,Белорусская,11.0,walk,Пресненский,agency,107985800.0
108,2.0,70.9,9,12,Семёновская,4.0,transport,Соколиная гора,agency,29237600.0
109,2.0,76.9,5,23,Юго-Западная,3.0,walk,Тропарево-Никулино,specialist,57900000.0
110,2.0,58.0,18,29,Аминьевская,3.0,walk,Очаково-Матвеевское,specialist,24800000.0
111,3.0,92.2,12,14,Минская,5.0,transport,Раменки,specialist,75000000.0
112,1.0,31.0,14,14,Кунцевская,9.0,transport,Можайский,specialist,16900000.0
113,3.0,269.4,69,75,Деловой центр,2.0,walk,Пресненский,agency,390280540.0
114,0.0,36.9,13,28,Бульвар Генерала Карбышева,5.0,walk,Хорошево-Мневники,agency,25092000.0
115,2.0,65.9,7,42,Крымская,19.0,walk,Котловка,specialist,35500000.0
116,4.0,103.1,5,20,Москва-Сити,12.0,walk,Пресненский,specialist,145000000.0
117,0.0,26.5,37,43,ЗИЛ,7.0,walk,Даниловский,agency,18791388.0
118,0.0,28.0,2,14,Коммунарка,5.0,transport,Сосенское,specialist,11200000.0
119,2.0,45.0,2,5,Бульвар Генерала Карбышева,4.0,walk,Хорошево-Мневники,specialist,19600000.0
120,2.0,35.9,6,9,Баррикадная,10.0,walk,Пресненский,agency,29999900.0
121,2.0,63.1,6,12,Зорге,13.0,walk,Хорошевский,agency,28015000.0
122,0.0,16.1,1,6,Беговая,16.0,walk,Хорошевский,agency,5400000.0
123,3.0,85.8,10,21,Потапово,17.0,walk,Сосенское,specialist,24500000.0
124,2.0,56.0,11,22,Рассказовка,4.0,transport,Внуковское,agency,19992000.0
125,0.0,20.0,17,17,Щербинка,11.0,walk,Щербинка,specialist,8900000.0
126,4.0,250.0,9,57,Аэропорт,10.0,walk,Хорошевский,specialist,160000000.0
127,3.0,116.8,5,7,Театральная,5.0,walk,Тверской,specialist,356740000.0
128,2.0,95.0,13,14,Баррикадная,18.0,walk,Пресненский,agency,206210000.0
129,2.0,60.0,9,19,Рассказовка,10.0,walk,Внуковское,specialist,21500000.0
130,1.0,42.0,3,17,Свиблово,6.0,walk,Свиблово,agency,20900000.0
131,4.0,113.7,26,26,Зорге,2.0,walk,Хорошевский,agency,142707052.0
132,1.0,31.2,3,9,Первомайская,19.0,walk,Восточное Измайлово,specialist,12500000.0
133,0.0,26.1,9,16,Яхромская,5.0,walk,Дмитровский,specialist,11999999.0
134,1.0,49.9,28,29,Аминьевская,4.0,walk,Раменки,agency,43112768.0
135,2.0,69.9,34,42,Тульская,8.0,walk,Даниловский,agency,52180350.0
136,2.0,52.2,4,6,Москва-Сити,8.0,walk,Пресненский,agency,77000000.0
137,1.0,52.8,24,82,Москва-Сити,1.0,walk,Пресненский,agency,56610000.0
138,2.0,95.4,3,5,Лубянка,6.0,walk,Басманный,specialist,68000000.0
139,4.0,158.38,2,6,Пенягино,19.0,walk,Митино,agency,48000000.0
140,1.0,51.8,3,22,Спартак,11.0,walk,Покровское-Стрешнево,agency,38528840.0
141,4.0,154.14,66,87,Деловой центр,12.0,walk,Пресненский,agency,165831237.0
142,1.0,41.3,9,13,Спартак,12.0,walk,Покровское-Стрешнево,agency,28658070.0
143,3.0,127.8,10,10,Спартак,11.0,walk,Покровское-Стрешнево,agency,124042680.0
